"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2017,59,55,4,0,0,0,0,56,45,25,0,0,0,0,59,0
"Adrian, MI","10300",2017,30,23,7,0,0,0,0,69,54,33,0,0,0,0,30,0
"Akron, OH","10420",2017,90,70,20,0,0,0,0,87,59,38,0,0,21,0,69,0
"Albany, GA","10500",2017,84,53,30,0,1,0,0,151,71,45,0,0,0,0,84,0
"Albany-Schenectady-Troy, NY","10580",2017,90,63,24,3,0,0,0,122,67,41,0,0,57,0,33,0
"Amarillo, TX","11100",2017,59,52,5,2,0,0,0,110,67,38,0,0,46,9,4,0
"Americus, GA","11140",2017,30,28,2,0,0,0,0,58,49,44,0,0,30,0,0,0
"Anchorage, AK","11260",2017,109,92,17,0,0,0,0,80,58,25,0,0,0,0,52,57
"Ann Arbor, MI","11460",2017,69,59,10,0,0,0,0,92,54,33,0,0,46,0,23,0
"Appleton, WI","11540",2017,31,27,4,0,0,0,0,85,55,30,0,0,0,0,31,0
"Ardmore, OK","11620",2017,80,66,14,0,0,0,0,97,54,44,0,0,52,0,28,0
"Arkadelphia, AR","11660",2017,58,57,1,0,0,0,0,58,41,31,0,0,58,0,0,0
"Asheville, NC","11700",2017,90,59,15,15,1,0,0,152,117,45,0,0,20,32,38,0
"Ashtabula, OH","11780",2017,90,89,1,0,0,0,0,54,39,3,0,0,31,59,0,0
"Athens, OH","11900",2017,15,14,1,0,0,0,0,56,35,24,0,0,0,0,15,0
"Athens, TN","11940",2017,20,18,2,0,0,0,0,63,58,34,0,0,0,0,20,0
"Athens-Clarke County, GA","12020",2017,86,74,12,0,0,0,0,66,54,38,0,0,24,0,62,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2017,90,48,42,0,0,0,0,75,63,49,0,9,27,0,54,0
"Augusta-Richmond County, GA-SC","12260",2017,120,84,35,0,0,0,1,364,61,46,0,0,68,3,48,1
"Augusta-Waterville, ME","12300",2017,86,85,1,0,0,0,0,62,41,18,0,59,25,0,2,0
"Austin-Round Rock, TX","12420",2017,59,51,8,0,0,0,0,75,58,40,0,7,31,0,21,0
"Bakersfield, CA","12540",2017,85,75,9,1,0,0,0,128,59,33,0,0,23,0,57,5
"Baltimore-Columbia-Towson, MD","12580",2017,120,88,32,0,0,0,0,84,58,43,0,9,64,0,47,0
"Bangor, ME","12620",2017,112,106,6,0,0,0,0,77,46,36,0,0,57,0,53,2
"Baraboo, WI","12660",2017,31,26,5,0,0,0,0,56,54,29,0,0,0,0,31,0
"Barnstable Town, MA","12700",2017,83,83,0,0,0,0,0,50,44,40,0,0,83,0,0,0
"Bartlesville, OK","12780",2017,120,86,33,1,0,0,0,107,61,40,0,0,65,0,55,0
"Baton Rouge, LA","12940",2017,120,76,42,2,0,0,0,105,69,47,0,1,58,2,59,0
"Bay City, MI","13020",2017,30,25,5,0,0,0,0,80,57,30,0,0,0,0,30,0
"Beaumont-Port Arthur, TX","13140",2017,90,53,35,2,0,0,0,106,82,47,0,0,37,37,16,0
"Beaver Dam, WI","13180",2017,31,24,7,0,0,0,0,79,62,34,0,0,12,0,19,0
"Bellingham, WA","13380",2017,59,42,17,0,0,0,0,94,69,29,0,0,0,28,31,0
"Big Spring, TX","13700",2017,59,44,13,2,0,0,0,111,74,24,0,0,0,59,0,0
"Billings, MT","13740",2017,59,49,10,0,0,0,0,70,59,33,0,0,0,1,58,0
"Birmingham-Hoover, AL","13820",2017,120,49,67,4,0,0,0,116,79,54,0,2,28,30,60,0
"Bishop, CA","13860",2017,90,87,3,0,0,0,0,72,45,39,0,0,73,0,0,17
"Bismarck, ND","13900",2017,90,86,4,0,0,0,0,70,46,36,0,0,66,1,23,0
"Blacksburg-Christiansburg-Radford, VA","13980",2017,56,56,0,0,0,0,0,50,45,35,0,0,56,0,0,0
"Bloomington, IL","14010",2017,90,73,17,0,0,0,0,84,59,38,0,0,35,0,55,0
"Bloomington, IN","14020",2017,86,79,7,0,0,0,0,64,47,32,0,0,26,0,60,0
"Borger, TX","14420",2017,47,40,3,4,0,0,0,116,82,3,0,0,0,47,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2017,90,2,88,0,0,0,0,80,70,62,0,0,0,0,90,0
"Boulder, CO","14500",2017,95,90,5,0,0,0,0,70,48,42,0,0,80,0,14,1
"Bowling Green, KY","14540",2017,90,89,1,0,0,0,0,51,46,38,0,0,70,0,20,0
"Bozeman, MT","14580",2017,90,81,9,0,0,0,0,74,52,15,18,27,0,0,45,0
"Branson, MO","14700",2017,31,30,1,0,0,0,0,58,48,38,0,0,31,0,0,0
"Bremerton-Silverdale, WA","14740",2017,55,53,2,0,0,0,0,57,33,16,0,0,0,0,55,0
"Brownsville-Harlingen, TX","15180",2017,59,58,1,0,0,0,0,54,44,33,0,0,59,0,0,0
"Brunswick, GA","15260",2017,48,44,4,0,0,0,0,62,47,38,0,0,31,0,17,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2017,90,72,18,0,0,0,0,65,54,39,0,5,40,0,45,0
"Butte-Silver Bow, MT","15580",2017,59,27,29,3,0,0,0,108,93,54,0,0,0,0,59,0
"Cadillac, MI","15620",2017,68,66,2,0,0,0,0,57,40,33,0,0,57,0,11,0
"Cambridge, MD","15700",2017,90,81,9,0,0,0,0,63,51,41,0,0,61,0,29,0
"Canton-Massillon, OH","15940",2017,90,69,21,0,0,0,0,81,62,40,5,0,21,0,64,0
"Carson City, NV","16180",2017,1,1,0,0,0,0,0,9,9,9,0,0,0,0,1,0
"Casper, WY","16220",2017,90,90,0,0,0,0,0,49,46,42,0,4,83,0,3,0
"Ca?on City, CO","15860",2017,8,8,0,0,0,0,0,44,44,10,0,0,0,0,0,8
"Cedar Rapids, IA","16300",2017,120,96,24,0,0,0,0,72,60,39,0,0,39,5,76,0
"Centralia, WA","16500",2017,59,53,6,0,0,0,0,70,51,24,0,0,0,0,59,0
"Champaign-Urbana, IL","16580",2017,90,67,23,0,0,0,0,81,57,38,0,0,38,0,52,0
"Charleston, WV","16620",2017,90,80,10,0,0,0,0,63,55,39,0,0,38,0,52,0
"Charleston-North Charleston, SC","16700",2017,120,98,22,0,0,0,0,80,58,44,0,1,82,0,37,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2017,120,80,40,0,0,0,0,84,60,46,0,0,59,0,61,0
"Charlottesville, VA","16820",2017,49,47,2,0,0,0,0,55,45,30,0,0,15,0,34,0
"Chattanooga, TN-GA","16860",2017,83,64,19,0,0,0,0,75,58,42,0,0,24,0,59,0
"Cheyenne, WY","16940",2017,30,30,0,0,0,0,0,37,27,13,0,0,0,0,29,1
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2017,120,65,54,1,0,0,0,102,70,46,0,13,12,2,79,14
"Chico, CA","17020",2017,37,29,8,0,0,0,0,91,59,24,0,0,0,0,37,0
"Cincinnati, OH-KY-IN","17140",2017,90,58,32,0,0,0,0,78,63,44,0,6,19,0,64,1
"Claremont-Lebanon, NH-VT","17200",2017,59,59,0,0,0,0,0,45,42,35,0,0,59,0,0,0
"Clarksville, TN-KY","17300",2017,54,52,2,0,0,0,0,54,44,36,0,0,48,0,6,0
"Clearlake, CA","17340",2017,31,31,0,0,0,0,0,40,37,31,0,0,31,0,0,0
"Cleveland-Elyria, OH","17460",2017,90,58,32,0,0,0,0,93,65,43,0,6,28,2,54,0
"Clinton, IA","17540",2017,120,38,82,0,0,0,0,89,70,55,0,0,8,0,112,0
"College Station-Bryan, TX","17780",2017,59,59,0,0,0,0,0,14,7,1,0,0,0,59,0,0
"Colorado Springs, CO","17820",2017,93,79,14,0,0,0,0,73,54,44,0,0,73,0,17,3
"Columbia, MO","17860",2017,31,28,3,0,0,0,0,58,50,40,0,0,31,0,0,0
"Columbia, SC","17900",2017,120,83,37,0,0,0,0,88,60,45,0,0,78,0,42,0
