"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","16","5.9","42","14","."
"10260","Adjuntas, PR",".",".",".",".",".",".",".",".",".","18","5.9",".",".","."
"10300","Adrian, MI",".",".",".",".","0.07","0.064",".",".",".","18","7.1",".",".","."
"10420","Akron, OH","1.5","0.7",".",".","0.08","0.066","3","1","0","23","8.5",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","29","11.2",".",".","."
"10580","Albany-Schenectady-Troy, NY","0.9","0.5",".",".","0.09","0.066","4","1","0","15","7.4",".",".","."
"10740","Albuquerque, NM","1.9","0.8","44","10","0.08","0.067","4","1","0","15","6.5","115","31","0"
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","16","7.3",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ",".",".","49","12","0.08","0.069","22","10","1","27","13.8",".",".","0.1"
"11020","Altoona, PA",".",".",".",".","0.07","0.061","8","2","0","21","8.9",".",".","."
"11100","Amarillo, TX",".",".",".",".","0.08","0.068","97","20","2",".",".",".",".","0"
"11140","Americus, GA",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","4.6","3.5",".",".","0.05","0.043",".",".",".","42","6.5","107","24","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.066",".",".",".","22","8.2",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.062","99","14","1","27","6.2",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.077",".",".",".","16","8",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0.08"
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.07","0.062","207","57","5","13","7",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.069","6","3","1",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","14","6.6",".",".","."
"11940","Athens, TN",".",".",".",".",".",".",".",".",".","16","6.9",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.07","0.063",".",".",".","16","7.4",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.2","1.7","53","18","0.09","0.074","8","3","1","21","9.9","41","16","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.07","0.058","2","1","0","18","7.3",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.07","0.061","41","8","1","21","19.2","30","27","."
"12300","Augusta-Waterville, ME",".",".","30","3","0.08","0.067","6","2","0","18","7","27","11","."
"12420","Austin-Round Rock, TX","2.2","1.2","44","12","0.08","0.068","4","1","0","47","9.9","34","21","."
"12540","Bakersfield, CA","1","0.7","46","13","0.09","0.08",".",".",".","34","13.3","83","41","."
"12580","Baltimore-Columbia-Towson, MD","1.3","1","50","15","0.1","0.077","11","2","1","19","8.2","24","14","."
"12620","Bangor, ME",".",".",".",".","0.07","0.06",".",".",".","14","5.7","35","16","."
"12660","Baraboo, WI",".",".",".",".","0.07","0.061",".",".",".","21","6.8","33","12","."
"12700","Barnstable Town, MA",".",".",".",".","0.1","0.072",".",".",".",".",".",".",".","."
"12780","Bartlesville, OK",".",".",".",".","0.08","0.063",".",".",".","20","8.7",".",".","."
"12940","Baton Rouge, LA","3.2","0.9","43","9","0.09","0.073","30","9","3","21","9.8","71","21","."
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","20","6.7",".",".","."
"13140","Beaumont-Port Arthur, TX","1","0.4","31","5","0.08","0.066","88","26","2","27","10.7",".",".","."
"13180","Beaver Dam, WI","0.4","0.3",".",".","0.07","0.062","2","1","0","31","6.9","42","10","."
"13380","Bellingham, WA",".",".",".",".","0.06","0.048","76","16","3","14","3.7",".",".","."
"13420","Bemidji, MN",".",".",".",".",".",".",".",".",".","14","5.4",".",".","."
"13540","Bennington, VT",".",".",".",".","0.07","0.065",".",".",".","11","3.9",".",".","."
"13620","Berlin, NH-VT",".",".",".",".","0.09","0.068",".",".",".",".",".",".",".","."
"13700","Big Spring, TX",".",".",".",".",".",".","87","28","5",".",".",".",".","."
"13740","Billings, MT",".",".",".",".",".",".","32","6","2","24","8.3",".",".","."
"13820","Birmingham-Hoover, AL","2.8","2.1","41","11","0.08","0.064","84","32","4","22","10","52","22","."
"13860","Bishop, CA","0.1","0.2",".",".","0.07","0.07","1","0","0","27","7.2","1015","44","."
"13900","Bismarck, ND","0.7","0.6","34","5","0.07","0.062","14","3","1","86","8.8","96","23","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.07","0.062","493","113","15",".",".",".",".","."
"14010","Bloomington, IL",".",".",".",".","0.07","0.064",".",".",".","18","8.6",".",".","."
"14020","Bloomington, IN",".",".",".",".","0.08","0.067",".",".",".","18","7.7",".",".","."
"14260","Boise City, ID","15.9","4.1","50","17","0.07","0.061","3","1","0","40","7.6","61","17","."
"14420","Borger, TX",".",".",".",".",".",".","281","74","9",".",".",".",".","."
"14460","Boston-Cambridge-Newton, MA-NH","1.2","0.8","48","13","0.1","0.075","9","3","1","17","8.7","31","11","0"
"14500","Boulder, CO",".",".",".",".","0.09","0.073",".",".",".","19","5.8","47","23","."
"14540","Bowling Green, KY","0.2","0.3",".",".","0.07","0.064","3","1","0","17","8.4",".",".","."
"14580","Bozeman, MT","1.1","0.5","35","2",".",".",".",".",".",".",".",".",".","."
"14660","Brainerd, MN",".",".",".",".","0.07","0.059",".",".",".","13","5",".",".","."
"14700","Branson, MO",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"14740","Bremerton-Silverdale, WA",".",".",".",".",".",".",".",".",".","11","4",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","1.7","1.2",".",".","0.11","0.08","3","1","0","20","6.9","30","12","."
"15100","Brookings, SD",".",".",".",".","0.08","0.06",".",".",".","17","4.8","56","16","."
"15180","Brownsville-Harlingen, TX","1.4","0.7",".",".","0.07","0.059",".",".",".","24","10.5",".",".","0"
"15260","Brunswick, GA",".",".",".",".","0.07","0.056",".",".",".","18","7.3",".",".","."
